token_cap,reserved_slots,refill,proc_delay,repeat,success,failures,processed,tokens_left,max_queue_len,time_ms,elapsed_ms,exit_code,logfile
256,16,8,2,1,523,2677,523,256,496,1494.017,1494.017,0,
256,16,8,5,1,528,2672,528,256,496,3076.111,3076.111,0,
256,16,16,1,1,517,2683,517,256,496,970.279,970.279,0,
256,16,16,2,1,528,2672,528,256,496,1469.679,1469.679,0,
256,16,16,5,1,527,2673,527,256,496,3029.382,3029.382,0,
256,32,4,1,1,527,2673,527,141,496,986.623,986.623,0,
256,32,4,2,1,528,2672,528,140,496,1453.295,1453.295,0,
256,32,4,5,1,527,2673,527,140,496,3041.165,3041.165,0,
256,32,8,1,1,528,2672,528,256,496,977.672,977.672,0,
256,32,8,2,1,528,2672,528,256,496,1480.685,1480.685,0,
256,32,8,5,1,528,2672,528,256,496,3025.034,3025.034,0,
256,32,16,1,1,528,2672,528,256,496,975.067,975.067,0,
256,32,16,2,1,527,2673,527,256,496,1457.969,1457.969,0,
256,32,16,5,1,528,2672,528,256,496,3050.481,3050.481,0,
256,64,4,1,1,528,2672,528,155,496,967.859,967.859,0,
256,64,4,2,1,528,2672,528,155,496,1456.885,1456.885,0,
256,64,4,5,1,528,2672,528,156,496,3033.919,3033.919,0,
256,64,8,1,1,528,2672,528,256,496,969.437,969.437,0,
256,64,8,2,1,528,2672,528,256,496,1478.347,1478.347,0,
256,64,8,5,1,527,2673,527,256,496,3026.687,3026.687,0,
256,64,16,1,1,528,2672,528,256,496,968.511,968.511,0,
256,64,16,2,1,513,2687,513,256,496,1442.547,1442.547,0,
256,64,16,5,1,527,2673,527,256,496,3037.934,3037.934,0,
256,128,4,1,1,528,2672,528,188,496,1003.452,1003.452,0,
256,128,4,2,1,528,2672,528,196,496,1455.136,1455.136,0,
256,128,4,5,1,528,2672,528,187,496,3026.072,3026.072,0,
256,128,8,1,1,517,2683,517,256,496,951.177,951.177,0,
256,128,8,2,1,526,2674,526,256,496,1473.061,1473.061,0,
256,128,8,5,1,528,2672,528,256,496,3319.51,3319.51,0,
256,128,16,1,1,528,2672,528,256,496,1029.442,1029.442,0,
256,128,16,2,1,518,2682,518,256,496,1458.109,1458.109,0,
256,128,16,5,1,523,2677,523,256,496,3019.75,3019.75,0,
